endpoint,ep_short,noise_type,noise_level,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,4,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,4,RandomForest,tuned,0.23659837327987543,0.5416154361595861,0.2933472806863387,0.4525797464636732,0.4799566636344116,0.35521051187816144
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,5,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,5,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,5,RandomForest,baseline,0.24457179726053446,0.5387795336945991,0.2902833859281696,0.44891917623137545,0.48417983074203474,0.3695613534436327
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,5,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,5,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,5,RandomForest,tuned,0.24488902080678032,0.5386663981906488,0.29016148853968654,0.4502680280793851,0.49414352537723477,0.363439920212108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,6,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,6,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,6,RandomForest,baseline,0.2606082816642715,0.5330301608825876,0.28412115241051716,0.44454509011135934,0.5005650735438618,0.38146142309026754
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,6,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,6,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,6,RandomForest,tuned,0.24901300385454372,0.5371934408773619,0.28857679292165966,0.4496871314837218,0.4958281743458975,0.36523900864005326
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,7,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,7,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,7,RandomForest,baseline,0.2411018573307292,0.5400155152719903,0.2916167567344732,0.4500987531698221,0.4836298300618902,0.36432059975552866
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,7,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,7,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,7,RandomForest,tuned,0.24830464111831463,0.5374467329632596,0.2888489907728813,0.4489671904331554,0.49058202193241485,0.3683529435566236
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,8,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,8,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,8,RandomForest,baseline,0.24405599516802068,0.538963440112384,0.29048158977777533,0.4487817956740777,0.487287063020889,0.36793243564787115
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,8,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,8,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,8,RandomForest,tuned,0.2517383555593339,0.5362178103111908,0.2875295400949282,0.4466791906267152,0.49747323417962946,0.3703743071059806
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,9,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
