endpoint,ep_short,fraction,n_train,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,5,LightGBM,baseline,-0.18509196144058992,0.6748239986963895,0.4553874292165848,0.554181438125213,0.1627800919038305,0.15091825042284068
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,5,LightGBM,tuned,0.021802285087686557,0.6130950571481255,0.3758855490994633,0.5220530530758843,0.18007272407053287,0.06668412067927416
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,5,RandomForest,tuned,0.026223707821410036,0.6117079027654874,0.3741865583057509,0.5165626580649776,0.19663797190796897,0.0946791166026612
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,6,MeanPredictor,baseline,-0.0007565231271207118,0.6201242397583948,0.3845540727359271,0.5371625574243822,,-3.9832337156232084e-32
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,6,BayesianRidge,baseline,-0.021363617993278572,0.6264763558399283,0.3924726244264765,0.5231645957260268,0.21572377030284506,0.1851412488997194
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,6,RandomForest,baseline,-0.004485484252234828,0.6212785010760324,0.38598697589928166,0.5058624356749192,0.24202210160250323,0.14513007314229606
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,6,LightGBM,baseline,-0.028698585836986368,0.6287218652780819,0.3952911838787507,0.5252457088210617,0.1825823417444621,0.1577872054091503
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,6,LightGBM,tuned,0.034659542235478624,0.6090525233153206,0.3709449761567591,0.5256330639163177,0.17342869291045837,0.05805608711639131
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,6,RandomForest,tuned,0.05016921766399152,0.604140030150743,0.36498517603054065,0.5175188024741552,0.23867481192939488,0.0887337374746273
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,7,MeanPredictor,baseline,-0.006362493128402091,0.6218586991053111,0.38670824165294987,0.5353110153505801,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,7,BayesianRidge,baseline,-0.07679136256967434,0.6432507102770226,0.4137714762718941,0.5298233739105734,0.21574837837371222,0.1703413648706045
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,7,RandomForest,baseline,0.0012335156954811355,0.619507363728865,0.3837893737142882,0.5047691887469579,0.25383752782979546,0.1506226941687636
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,7,LightGBM,baseline,-0.07298797079750163,0.6421136754013054,0.4123099721373729,0.5253124018527832,0.20653360426430056,0.17642830386953037
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,7,LightGBM,tuned,0.015507455124461389,0.615064567070778,0.37830442166596356,0.5254785293887821,0.17397758130905175,0.07716518214846776
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,7,RandomForest,tuned,0.04756792256665354,0.604966741604358,0.36598475844739414,0.5116543975616328,0.23165330046175192,0.10740379137014165
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,8,MeanPredictor,baseline,-0.00024171648471327245,0.6199647178681481,0.3843562514013325,0.5376513468169941,,-3.985283815255396e-32
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,8,BayesianRidge,baseline,0.032274585667861455,0.6098044174991042,0.3718614276014218,0.5074244686205223,0.28976379259688084,0.22132219312367746
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,8,RandomForest,baseline,0.0616576182617643,0.6004753154933945,0.36057060451689166,0.4992094794153237,0.2816938897920542,0.16512082015859175
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,8,LightGBM,baseline,0.032999631973626764,0.6095759336338417,0.37158281886556976,0.494358844749672,0.31465575545770597,0.2582553075858088
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,8,LightGBM,tuned,0.06365600761000978,0.5998355580441519,0.35980269669413917,0.5147820536328095,0.25504749648986824,0.10749096024405655
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,8,RandomForest,tuned,0.06758685150477495,0.598575155997686,0.35829221737765404,0.5065277448135636,0.27157366620398476,0.13112955373674717
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,9,MeanPredictor,baseline,-0.002589848538322004,0.6206919949010096,0.3852585525341949,0.5362865463477385,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,9,BayesianRidge,baseline,-0.05865086210615589,0.6378093339356983,0.4068007464554991,0.5194573999865972,0.21940221356560374,0.18678256874291146
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,9,RandomForest,baseline,-0.08806794334143642,0.6466101245616724,0.4181046531856616,0.5321589813980421,0.1615965423250445,0.10702054686669704
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,9,LightGBM,baseline,-0.11913783750793128,0.6557771537500037,0.4300436753804559,0.5427635590947877,0.16898924273438615,0.16070267132982083
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,9,LightGBM,tuned,0.03619235072488358,0.6085687915126649,0.3703559740031853,0.5234059342066331,0.18929114005134384,0.06662931267386266
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,9,RandomForest,tuned,0.013668137024276938,0.615638858613625,0.379011204235087,0.5240982600728771,0.18602749171138966,0.09431707403640567
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,0,MeanPredictor,baseline,-0.0005610032419225419,0.6200636593175014,0.3844789416062105,0.5373158029504697,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,0,BayesianRidge,baseline,0.13853522130727558,0.5753515080365305,0.3310293577999098,0.49213323776056467,0.38890873197549847,0.20272012820393626
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,0,RandomForest,baseline,0.08352270600956446,0.5934379935965965,0.3521686522439541,0.49812070835349515,0.33658973387455415,0.18894160446553016
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,0,LightGBM,baseline,0.03540383375531919,0.6088176838677708,0.37065897219011684,0.5034773983249275,0.2705789184020387,0.20517623857683043
