stage,n_descriptors,n_features,mean_cv_r2,pct_of_ceiling,HLM_cv_r2,MDR1_cv_r2,SOL_cv_r2,RLM_cv_r2
No pruning,48,314,0.41932890061130307,100.0,0.4287652285707944,0.5136445561850852,0.2732221240686551,0.46168369362067735
"Post correlation-
prune (CCA)",27,92,0.405669333262216,96.74251707211835,0.414274438219463,0.5054013609332417,0.2754365837612617,0.4275649501348976
Post VIF-prune,16,40,0.38243397587932665,91.20143527474721,0.38594834751698637,0.49019295260210993,0.25785773502697973,0.3957368683712306
"RFE elbow
(N=2)",2,26,0.34582368864495283,82.47074984357306,0.34703957425663623,0.4316644607368523,0.24272911378543327,0.36186160580088955
"RFE N=1
(past cliff)",1,14,0.2650548018800568,63.20928547821448,0.2690376100864668,0.36919473228313937,0.10623099085060037,0.3157558743000207
