endpoint,featureset,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,fcfp4,RF,0.05,123,5,none,0.0,base,0.0183202083647734,0.6060483449214428,0.3672945963820201,0.504282922061489,0.2441708646684036,0.2354950706822607,0.1774606553640754
HLM,fcfp4,RF,0.05,123,6,none,0.0,base,-0.1031361360493723,0.6424463997748118,0.4127373765836172,0.5290526172459548,0.0879436478084787,0.1227231113769975,0.0525812397316967
HLM,fcfp4,RF,0.05,123,7,none,0.0,base,0.0538485694703622,0.5949804135951622,0.3540016925618702,0.4863988045954692,0.283343998795158,0.3039835214432009,0.1663001717128928
HLM,fcfp4,RF,0.05,123,8,none,0.0,base,0.0174394839279006,0.6063201453231885,0.3676241186247324,0.5028814760744337,0.2252106165842427,0.2158954407941916,0.1501057151534571
HLM,fcfp4,RF,0.05,123,9,none,0.0,base,0.0331437733773816,0.6014552128690682,0.3617483730873761,0.4950954874110034,0.2566795647118809,0.2601186612956273,0.1840327030077301
HLM,fcfp4,RF,0.05,123,10,none,0.0,base,0.0768201092889075,0.5877132905968508,0.3454069119441784,0.4965221019385112,0.2974900605117634,0.3094823308474444,0.2071819790668612
HLM,fcfp4,RF,0.05,123,11,none,0.0,base,0.012794846009237,0.6077515163739986,0.3693619056548947,0.5009664093009709,0.2458506900093642,0.2424370652837233,0.1619330174304342
HLM,fcfp4,RF,0.05,123,12,none,0.0,base,-0.0255860262519509,0.6194530441571386,0.3837220739155459,0.4858821472233009,0.2662730960833577,0.3075732951866355,0.1913949640140432
HLM,fcfp4,RF,0.05,123,13,none,0.0,base,0.0791646689402885,0.586966521272299,0.3445296970945042,0.4875742604789643,0.304640892311213,0.2949451483372111,0.2016039467370984
HLM,fcfp4,RF,0.05,123,14,none,0.0,base,0.0510753117211986,0.5958517470082837,0.3550393044128237,0.4939701380647249,0.2594542463438049,0.2549685198818475,0.1528889843802403
HLM,fcfp4,RF,0.05,123,15,none,0.0,base,-0.1195697316876507,0.6472140228430059,0.4188859913646269,0.5287756851553398,0.0874660101095367,0.0899323291592527,0.053509757823092
HLM,fcfp4,RF,0.05,123,16,none,0.0,base,0.0025941789842196,0.6108833570287441,0.373178475894708,0.491086630288026,0.2525563099330479,0.265793115863626,0.165756561961468
HLM,fcfp4,RF,0.05,123,17,none,0.0,base,-0.0124969448472853,0.6154874540368663,0.3788248060767837,0.5001810909644013,0.237157891291253,0.2349749738346657,0.1396077892207072
HLM,fcfp4,RF,0.05,123,18,none,0.0,base,-0.0296500309509881,0.6206791583076737,0.3852426175575222,0.5162855038058252,0.1936919240426108,0.1866370494150949,0.134953314131157
HLM,fcfp4,RF,0.05,123,19,none,0.0,base,-0.0409098055763759,0.6240636601642137,0.3894554519375551,0.509116755944984,0.1893607156529846,0.179716599112114,0.0918052075349182
HLM,fcfp4,RF,0.08,197,5,none,0.0,base,0.0298831552183876,0.6024685306221564,0.3629683303900202,0.4888911412750807,0.2732394167701483,0.2479684996459301,0.2050381501598614
HLM,fcfp4,RF,0.08,197,6,none,0.0,base,-0.0312240217470374,0.6211533826476279,0.3858315247745904,0.5119504129514563,0.169451662766801,0.1553486349424269,0.1069591501387618
HLM,fcfp4,RF,0.08,197,7,none,0.0,base,0.0583371615185638,0.5935674266260331,0.3523222899514512,0.4820439945922329,0.3015859312855037,0.3299996758651106,0.176912118483812
HLM,fcfp4,RF,0.08,197,8,none,0.0,base,0.0538140406938776,0.59499127008051,0.3540146114720184,0.498317882199029,0.2528197352744093,0.2317418893479554,0.1552630094948099
HLM,fcfp4,RF,0.08,197,9,none,0.0,base,0.087210970965181,0.5843964241416212,0.3415191805495136,0.4832131844757279,0.3153240288210219,0.3281123130487172,0.2094958269004776
HLM,fcfp4,RF,0.08,197,10,none,0.0,base,0.0620182336656478,0.5924061277313315,0.3509450201736306,0.4986348433268606,0.2775583107151758,0.2836520538456095,0.1913074220095974
HLM,fcfp4,RF,0.08,197,11,none,0.0,base,0.0810966160364868,0.5863504590729458,0.3438068608550542,0.4854002345339803,0.3087160267986892,0.3084286655384068,0.2070992775774782
HLM,fcfp4,RF,0.08,197,12,none,0.0,base,0.0508896911151335,0.5959100218932801,0.3551087541928496,0.473182948343042,0.3094766041146362,0.3381794906801745,0.2116045806349462
HLM,fcfp4,RF,0.08,197,13,none,0.0,base,0.1185890395524532,0.5742639679450738,0.3297791048800208,0.4863686543689318,0.3541994491152359,0.3553656449545598,0.2280003913734995
HLM,fcfp4,RF,0.08,197,14,none,0.0,base,0.0230105492750626,0.6045988005440734,0.3655397096193323,0.4951894690517799,0.249853301033284,0.2530375028663825,0.1684756358848609
HLM,fcfp4,RF,0.08,197,15,none,0.0,base,0.0170431493839213,0.6064424183976165,0.3677724068319498,0.4989379600453074,0.2386279517632245,0.2524599974048143,0.1523113846580208
HLM,fcfp4,RF,0.08,197,16,none,0.0,base,0.0406265172938409,0.5991232855542609,0.3589487112933324,0.4882730096666666,0.2789633947420729,0.2764591118724526,0.1741149285072342
HLM,fcfp4,RF,0.08,197,17,none,0.0,base,-0.0309145351522583,0.6210601666893085,0.3857157306481516,0.5026422536537217,0.2124931691222119,0.2124502040985661,0.1388515848013306
