endpoint,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,RF,1.0,2468,0,none,0.0,base,0.4318914102913195,0.4610393793973011,0.2125573093550485,0.3720330957443363,0.6616159302577401,0.677432596998291,0.5772636337498684
HLM,RF,1.0,2468,1,none,0.0,base,0.4318914102913195,0.4610393793973011,0.2125573093550485,0.3720330957443363,0.6616159302577399,0.677432596998291,0.5772636337498684
HLM,RF,1.0,2468,2,none,0.0,base,0.4318914102913195,0.4610393793973011,0.2125573093550485,0.3720330957443362,0.6616159302577398,0.677432596998291,0.5772636337498683
HLM,RF,1.0,2468,3,none,0.0,base,0.4318914102913194,0.4610393793973011,0.2125573093550486,0.3720330957443362,0.6616159302577399,0.677432596998291,0.5772636337498684
HLM,RF,1.0,2468,4,none,0.0,base,0.4318914102913195,0.4610393793973011,0.2125573093550485,0.3720330957443362,0.6616159302577399,0.677432596998291,0.5772636337498684
HLM,LightGBM,1.0,2468,0,none,0.0,base,0.5200887876975149,0.423743249205374,0.1795583412471277,0.3363949273419739,0.7214777992148463,0.7236909567214576,0.6796560119574349
HLM,LightGBM,1.0,2468,1,none,0.0,base,0.5200887876975149,0.423743249205374,0.1795583412471277,0.3363949273419739,0.7214777992148463,0.7236909567214576,0.6796560119574349
HLM,LightGBM,1.0,2468,2,none,0.0,base,0.5200887876975149,0.423743249205374,0.1795583412471277,0.3363949273419739,0.7214777992148463,0.7236909567214576,0.6796560119574349
HLM,LightGBM,1.0,2468,3,none,0.0,base,0.5200887876975149,0.423743249205374,0.1795583412471277,0.3363949273419739,0.7214777992148463,0.7236909567214576,0.6796560119574349
HLM,LightGBM,1.0,2468,4,none,0.0,base,0.5200887876975149,0.423743249205374,0.1795583412471277,0.3363949273419739,0.7214777992148463,0.7236909567214576,0.6796560119574349
HLM,FCNN,1.0,2468,0,none,0.0,base,0.5188919893198284,0.4242712838099865,0.1800061222657741,0.3207721879948674,0.7437764111500375,0.7544725145776977,0.7363702494526709
HLM,FCNN,1.0,2468,1,none,0.0,base,0.5188919893198284,0.4242712838099865,0.1800061222657741,0.3207721879948674,0.7437764111500375,0.7544725145776977,0.7363702494526709
