endpoint,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,RF,1.0,2468,3,gaussian,1.0,base,0.16906630049928384,0.5575778724570238,0.3108930838537011,0.4566243637536004,0.417526171226896,0.42022113053835514,0.31836001303116845
HLM,RF,1.0,2468,4,gaussian,1.0,base,0.22796026764696498,0.5374550770982237,0.2888579598986576,0.43622064836103636,0.48059830950739213,0.48768738403481804,0.39892221454558796
HLM,RF,1.0,2468,0,systematic_bias,0.1,base,0.25673097637664566,0.527345641430443,0.27809342553568545,0.4328558289764492,0.5087163124898955,0.5184699702585276,0.38832904771082527
HLM,RF,1.0,2468,1,systematic_bias,0.1,base,0.25611106895333335,0.5275655061992471,0.2783253633312679,0.4330990767669447,0.5083681409674494,0.521670481205648,0.38621000023733143
HLM,RF,1.0,2468,2,systematic_bias,0.1,base,0.2605823226123045,0.5259776115609153,0.2766524478633251,0.4328347645642,0.5130631822903078,0.5251511708697774,0.39057744553147594
HLM,RF,1.0,2468,3,systematic_bias,0.1,base,0.25440204465430993,0.5281711779432855,0.2789647932099978,0.4334697305768565,0.5063261090391011,0.5186044035959508,0.3856204151124771
HLM,RF,1.0,2468,4,systematic_bias,0.1,base,0.2547017337652715,0.5280650194845048,0.2788526648031704,0.4338840709807307,0.5067682237822895,0.5152288387963699,0.3853898907648416
HLM,RF,1.0,2468,0,systematic_bias,0.3,base,0.24082460777601755,0.5329585150859869,0.28404477880266016,0.44315903915186994,0.5037093246555102,0.5131932111000911,0.380863069972096
HLM,RF,1.0,2468,1,systematic_bias,0.3,base,0.25174317880397856,0.5291120915615182,0.2799596054366044,0.4429960114988608,0.516620478689194,0.5266831555979699,0.3885449635508214
HLM,RF,1.0,2468,2,systematic_bias,0.3,base,0.23922586293355885,0.5335193977012992,0.284642947723557,0.44697010953702654,0.5042927202728407,0.5161638047902644,0.37961889012744565
HLM,RF,1.0,2468,3,systematic_bias,0.3,base,0.2370277477461158,0.5342895942379556,0.28546537051095927,0.4458434863318209,0.5007003648827063,0.5150691333283888,0.3778812580058752
HLM,RF,1.0,2468,4,systematic_bias,0.3,base,0.25027762136502696,0.5296300052038848,0.28050794241226706,0.4430443793553424,0.5148147684520985,0.52520181796764,0.38596105767454547
HLM,RF,1.0,2468,0,systematic_bias,0.5,base,0.20168334562824464,0.5465248816330952,0.2986894462440687,0.45997364253681805,0.4966574327385561,0.5022713058465308,0.36719880495008306
HLM,RF,1.0,2468,1,systematic_bias,0.5,base,0.2126582915353208,0.5427551752572626,0.2945831802685418,0.4586358672737873,0.5086931676668183,0.5196942160215341,0.3744736376995866
HLM,RF,1.0,2468,2,systematic_bias,0.5,base,0.19976315538139944,0.547181764744663,0.2994078836690837,0.4639474515252759,0.5007986624301795,0.511723802532405,0.3647621223214551
HLM,RF,1.0,2468,3,systematic_bias,0.5,base,0.20417335019761695,0.5456718916265747,0.29775781331132434,0.46011369763728915,0.5006272699651645,0.5166675248859108,0.3681877297059255
HLM,RF,1.0,2468,4,systematic_bias,0.5,base,0.21378709583243583,0.5423659642464363,0.2941608391729667,0.45828710160823677,0.5082596409166482,0.5180492908360264,0.36994740969971085
HLM,RF,1.0,2468,0,systematic_bias,1.0,base,0.02489872809167737,0.6040142790047819,0.36483324924166644,0.5155444569564064,0.4925532821314125,0.49683954600128527,0.3222997333258707
HLM,RF,1.0,2468,1,systematic_bias,1.0,base,0.02487055735028132,0.6040230039483597,0.3648437892988002,0.5153413205431876,0.5010947966871903,0.5105928039896765,0.3243390948436532
HLM,RF,1.0,2468,2,systematic_bias,1.0,base,-0.006306435563860235,0.613602992731503,0.3765086326890569,0.5266032407514336,0.483733982248427,0.49192081297728324,0.3074984779771759
HLM,RF,1.0,2468,3,systematic_bias,1.0,base,0.0032755242570616794,0.6106746688572431,0.37292355118390347,0.521052628878902,0.48005871037303166,0.4943249047378097,0.311386475840623
